date,label,confidence,evidence_type,first_qualifying_time_et,side,hedge_only,excerpt,journal_ref,reviewer,notes,proposed_reasoning
2023-10-22,0,High,,,,False,===================================================================== =====================================================================,2023-10-22.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2023-10-23,0,High,,,,False,"0DTE CCS / PCS in place, WEEKLY IC done NET CREDIT: 0DTE --> $1,085 IC --> $1,460 2",2023-10-23.txt:24-34,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-10-24,0,High,,,,False,"===================================================================== ===================================================================== TUES, 24 OCT 2023 have to take care of some personal matters. Won't be tradin...",2023-10-24.txt:6-22,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-10-25,0,High,,,,False,"WED, 25 OCT 2023 CL LONG is starting to turn around, WEEKLY IC grinding along. the LONG bias from SUN via BB turned out to be correct and now at the mid-point of the 4hr BB. VIX has been going down since it's open, DX...",2023-10-25.txt:14-28,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2023-10-30,1,High,executed,16:50,call,False,ROLLED SHORT-CALL to higher STRIKE & further EXPIRY added to LONG-CALL & a new LONG SPX CALL for tomorrow's EXPIRY elected not to WRITE PUTS against position,2023-10-30.txt:50-53,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-10-31,0,High,,,,False,"0DTE SPX PCS 4160 / 4145 3,540 - 1,500 = $2,040 CREDIT RECIEVED ES made both a higher SWING LOW & and lower SWING HIGH - needs strength to break-out of this balance, 96% probability either OVN HIGH or LOW is re-auctio...",2023-10-31.txt:60-72,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2023-11-01,0,High,,,,False,ALBATROSS SPREAD officially closed out 2 Pickles,2023-11-01.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-11-02,0,High,,,,False,"===================================================================== ===================================================================== THUR, 2 NOV 2023 If 'overbought' ever needed a textbook example of it, it'd b...",2023-11-02.txt:6-22,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2023-11-06,0,High,,,,False,"MON, 6 NOV 2023 Last week the SnP rocketed ~200 points in one week, tearing the VIX down with it as FOMC made another pause, Treasury announced it's re-balancing policy, and Yellen came swooping in to save the day ( a...",2023-11-06.txt:14-28,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-11-07,0,High,,,,False,"TUES, 7 NOV 2023 ES & NQ are still in the same CONGESTION ZONE of VOLUME that was referenced here --> https://discord.com/channels/1026265666552090676/1163592216523055164/1171081027872108544 With the sectors down in P...",2023-11-07.txt:14-30,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-11-09,1,High,executed,11:00,call,False,"went LONG SPX CALLS on ES WEEKLY VWAP BOUNCE, if ES gets back up to VWAP we can see a bunch of BUYERS coming in to potentially make a stronger run back to OPENING PRICE, otherwise VWAP will act as a hard wall to push ...",2023-11-09.txt:64-68,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-11-10,0,High,executed,,,True,"CCS got rekt, BACK RATIO'd into more SPX LONGS & ultimately CLOSED out of the SPX SHORT CALLS the LONGS off-set the LOSS on the SHORTS, but I do not consider a trade where the DEFENSE had to come save the day a winnin...",2023-11-10.txt:152-158,model-draft,SPX long executed but structurally paired with existing SPX short leg (N5 hedge-only). Subsequent exit references on the same day close the same hedge position — not a separate directional bet. label=0.,has_hedge and no_separate_directional -> label=0 High hedge_only=True
2023-11-13,1,Medium,executed,09:50,,False,LONG SPX off ES & NQ bounce off opening 15m candle,2023-11-13.txt:121-123,model-draft,Side ambiguous from keywords; requires human review.,first_positive=executed_long_directional side=none -> label=1 Medium
2023-11-14,0,High,,,,False,"^flipped to NQ LONGS on BOUNCE off OVN H slept in late on the market, so today is a SMALL POSITION SIZE day, just to scratch that itch",2023-11-14.txt:20-23,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-11-15,0,High,,,,False,0DTE SPX CCS 4510 / 4495 (edited),2023-11-15.txt:129-133,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2023-11-16,1,Medium,explicitly_claimed,10:32,,False,out of those SPX CALLS,2023-11-16.txt:118-120,model-draft,Side ambiguous from keywords; requires human review.,first_positive=explicitly_claimed side=none -> label=1 Medium
2023-11-17,1,Medium,executed,10:17,,False,"did not increase NQ, but went LONG SPX 0DTE 4510",2023-11-17.txt:90-90,model-draft,Side ambiguous from keywords; requires human review.,first_positive=executed_long_directional side=none -> label=1 Medium
2023-11-19,0,High,,,,False,"SUN, 19 NOV 2023 SPX WEEKLY RANGES See FAQ here --> https://discord.com/channels/1026265666552090676/1163592216523055164/1165853113333317682 1 1",2023-11-19.txt:14-27,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
