"event_family","field","required_for","purpose","fail_if_missing"
"session","run_id","all events","Link all rows to one run","yes"
"session","session_id","all events","Group decisions within an operational session","yes"
"session","event_id","all events","Allow deterministic event-chain reconstruction","yes"
"session","event_type","all events","Identify row contract","yes"
"session","mode","all events","Distinguish no-order, dry-run, and submit","yes"
"session","paper_trading","all events","Confirm paper-only context","yes"
"session","real_money","all events","Fail closed on real-money ambiguity","yes"
"session","live_orders_enabled","all events","Show whether order submission was enabled","yes"
"session","broker_order_endpoint_called","all broker-adjacent events","Detect forbidden broker calls in no-order/dry-run","yes"
"session","artifact_ids","all decision events","Tie decision to Protocol101, surface, and lifecycle artifacts","yes"
"session","runtime_flag_digest","all decision/order events","Prove runtime flag state without exposing sensitive content","yes"
"market_context","spx_price","market snapshot and decision","Reconstruct underlying state","yes"
"market_context","vix_price","market snapshot and decision","Reconstruct volatility context","yes"
"market_context","spx_raw_quote_timestamp_utc","market snapshot and decision","Prove quote freshness source","yes"
"market_context","vix_raw_quote_timestamp_utc","market snapshot and decision","Prove quote freshness source","yes"
"market_context","spx_quote_age_ms","market snapshot and decision","Reject stale SPX data","yes"
"market_context","vix_quote_age_ms","market snapshot and decision","Reject stale VIX data","yes"
"market_context","context_age_ms","decision and guard","Confirm live context freshness","yes"
"option_quote","expiry","candidate and intent","Identify selected SPXW contract","yes"
"option_quote","settlement","candidate and intent","Reject wrong settlement type","yes"
"option_quote","strike","candidate and intent","Identify selected strike","yes"
"option_quote","right","candidate and intent","Identify call/put side","yes"
"option_quote","bid","candidate and intent","Reconstruct entry/exit economics","yes"
"option_quote","ask","candidate and intent","Reconstruct entry/exit economics","yes"
"option_quote","bid_size","candidate and intent","Diagnose liquidity","yes"
"option_quote","ask_size","candidate and intent","Diagnose liquidity","yes"
"option_quote","raw_quote_timestamp_utc","candidate and intent","Prove quote freshness source","yes"
"option_quote","quote_age_ms","candidate, guard, and intent","Reject stale option quotes","yes"
"candidate","candidate_set_hash","candidate_set and decision","Prove exact candidate set used","yes"
"candidate","feature_vector_hash","candidate_set and decision","Prove exact model inputs used","yes"
"candidate","candidate_count","candidate_set and decision","Separate no-candidate from model no-entry","yes"
"candidate","top_rejected_contracts","candidate_set when candidate_count is zero","Explain no-candidate outcomes","yes"
"candidate","filter_reasons","candidate_set","Explain candidate filtering","yes"
"model","action_mask","model_decision","Show available actions","yes"
"model","raw_logits","model_decision","Reconstruct model comparison","yes"
"model","wait_logit","model_decision","Reconstruct wait-vs-enter decision","yes"
"model","candidate_logits","model_decision with candidates","Reconstruct selected candidate","yes"
"model","selected_action","model_decision","Show decision result","yes"
"model","selected_contract","entry decision","Tie decision to contract","yes"
"model","selected_margin","model_decision","Reconstruct threshold comparison","yes"
"model","threshold","model_decision","Reconstruct threshold comparison","yes"
"model","no_entry_reason","no-entry decision","Explain why no trade occurred","yes"
"guard","guard_passed","guard event","Confirm order safety result","yes"
"guard","guard_block_reasons","guard block","Explain guard failure","yes"
"guard","account_prefix_ok","guard event","Confirm DU/paper account gate","yes"
"guard","real_money_false_confirmed","guard event","Confirm no real-money path","yes"
"guard","quantity_ok","guard event","Confirm one-contract limit","yes"
"guard","one_open_position_ok","guard event","Confirm position limit","yes"
"guard","quote_freshness_ok","guard event","Confirm fresh quote","yes"
"guard","context_freshness_ok","guard event","Confirm fresh context","yes"
"guard","affordability_ok","guard event","Confirm account affordability","yes"
"order_intent","intent_id","all intent/order events","Link decision, guard, and broker rows","yes"
"order_intent","dry_run","intent event","Separate dry-run from submit","yes"
"order_intent","action","intent event","Identify BUY or SELL","yes"
"order_intent","quantity","intent event","Confirm one-contract limit","yes"
"order_intent","limit_price","intent event","Reconstruct submitted or would-submit order","yes"
"order_intent","contract_payload","intent event","Reconstruct contract","yes"
"order_intent","order_payload","intent event","Reconstruct order","yes"
"broker","broker_order_id","submitted order","Trace IBKR order lifecycle","yes"
"broker","broker_status","broker status","Trace order state","yes"
"broker","filled_quantity","broker status","Identify fill outcome","yes"
"broker","average_fill_price","fill event","Reconstruct execution price","yes"
"broker","cancel_requested","cancel/timeout event","Reconstruct cancel path","yes"
"broker","final_status","submitted order","Require fill/cancel/timeout resolution","yes"
"lifecycle","position_detected","lifecycle event","Confirm open-position handling","yes"
"lifecycle","runtime_state_hash","lifecycle event","Reconstruct position state","yes"
"lifecycle","lifecycle_feature_vector_hash","lifecycle decision","Reconstruct lifecycle model input","yes"
"lifecycle","lifecycle_action","lifecycle decision","Identify hold/exit/forced-flat decision","yes"
"lifecycle","exit_intent_id","exit event","Link lifecycle decision to exit order","yes"
"lifecycle","forced_flat_triggered","forced-flat event","Confirm close safety path","yes"
"lifecycle","final_position_state","exit or session end","Confirm final exposure","yes"
